Name,SITES API
Type,Managed placement (domain)
Frequency,Daily
Date range,Last 14 days
Dates,"Aug 30, 2012-Sep 12, 2012"
Account,Day,Network,Placement,Campaign,Client name,Impressions,Clicks,Cost
City Ventures,2012-09-09,Display Network,babycenter.com,CTVN01_150k,City Ventures,52,0,0.04
City Ventures,2012-09-10,Display Network,babycenter.com,CTVN01_150k,City Ventures,174,0,0.14
City Ventures,2012-09-11,Display Network,babycenter.com,CTVN01_150k,City Ventures,89,0,0.07
City Ventures,2012-09-12,Display Network,babycenter.com,CTVN01_150k,City Ventures,87,0,0.06
City Ventures,2012-08-30,Display Network,ehow.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-08-31,Display Network,ehow.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-01,Display Network,ehow.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-03,Display Network,ehow.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-04,Display Network,ehow.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-05,Display Network,ehow.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-06,Display Network,ehow.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-07,Display Network,ehow.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-08,Display Network,ehow.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-10,Display Network,ehow.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-11,Display Network,ehow.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-12,Display Network,ehow.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-08-30,Display Network,manta.com,CTVN01_150k,City Ventures,9,0,0.01
City Ventures,2012-08-31,Display Network,manta.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-01,Display Network,manta.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-02,Display Network,manta.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-04,Display Network,manta.com,CTVN01_150k,City Ventures,5,0,0.01
City Ventures,2012-09-05,Display Network,manta.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-06,Display Network,manta.com,CTVN01_150k,City Ventures,7,0,0.01
City Ventures,2012-09-07,Display Network,manta.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-08,Display Network,manta.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-10,Display Network,manta.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-11,Display Network,manta.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-12,Display Network,manta.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-09,Display Network,ask.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-08-30,Display Network,realtor.com,CTVN01_150k,City Ventures,1615,0,2.16
City Ventures,2012-08-31,Display Network,realtor.com,CTVN01_150k,City Ventures,1342,0,1.62
City Ventures,2012-09-01,Display Network,realtor.com,CTVN01_150k,City Ventures,1454,1,1.75
City Ventures,2012-09-02,Display Network,realtor.com,CTVN01_150k,City Ventures,1522,1,1.95
City Ventures,2012-09-03,Display Network,realtor.com,CTVN01_150k,City Ventures,1658,1,2.14
City Ventures,2012-09-04,Display Network,realtor.com,CTVN01_150k,City Ventures,1477,2,1.96
City Ventures,2012-09-05,Display Network,realtor.com,CTVN01_150k,City Ventures,1547,0,2.02
City Ventures,2012-09-06,Display Network,realtor.com,CTVN01_150k,City Ventures,1583,0,2.06
City Ventures,2012-09-07,Display Network,realtor.com,CTVN01_150k,City Ventures,1942,0,2.58
City Ventures,2012-09-08,Display Network,realtor.com,CTVN01_150k,City Ventures,1947,0,2.65
City Ventures,2012-09-09,Display Network,realtor.com,CTVN01_150k,City Ventures,1946,2,2.64
City Ventures,2012-09-10,Display Network,realtor.com,CTVN01_150k,City Ventures,2051,0,2.75
City Ventures,2012-09-11,Display Network,realtor.com,CTVN01_150k,City Ventures,1572,0,2.08
City Ventures,2012-09-12,Display Network,realtor.com,CTVN01_150k,City Ventures,1621,1,2.15
City Ventures,2012-08-30,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-08-31,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,12,0,0.01
City Ventures,2012-09-03,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,4,0,0.01
City Ventures,2012-09-04,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,15,0,0.01
City Ventures,2012-09-05,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,3,0,0.00
City Ventures,2012-09-06,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-08,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-10,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,4,0,0.00
City Ventures,2012-09-11,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,2,0,0.00
City Ventures,2012-09-12,Display Network,everydayhealth.com,CTVN01_150k,City Ventures,5,0,0.00
City Ventures,2012-08-30,Display Network,trulia.com,CTVN01_150k,City Ventures,388,0,0.59
City Ventures,2012-08-31,Display Network,trulia.com,CTVN01_150k,City Ventures,424,0,0.62
City Ventures,2012-09-01,Display Network,trulia.com,CTVN01_150k,City Ventures,522,0,0.79
City Ventures,2012-09-02,Display Network,trulia.com,CTVN01_150k,City Ventures,413,0,0.61
City Ventures,2012-09-03,Display Network,trulia.com,CTVN01_150k,City Ventures,324,1,0.47
City Ventures,2012-09-04,Display Network,trulia.com,CTVN01_150k,City Ventures,292,0,0.43
City Ventures,2012-09-05,Display Network,trulia.com,CTVN01_150k,City Ventures,229,0,0.35
City Ventures,2012-09-06,Display Network,trulia.com,CTVN01_150k,City Ventures,609,0,0.90
City Ventures,2012-09-07,Display Network,trulia.com,CTVN01_150k,City Ventures,239,0,0.27
City Ventures,2012-09-08,Display Network,trulia.com,CTVN01_150k,City Ventures,448,0,0.46
City Ventures,2012-09-09,Display Network,trulia.com,CTVN01_150k,City Ventures,502,0,0.51
City Ventures,2012-09-10,Display Network,trulia.com,CTVN01_150k,City Ventures,258,0,0.30
City Ventures,2012-09-11,Display Network,trulia.com,CTVN01_150k,City Ventures,408,0,0.45
City Ventures,2012-09-12,Display Network,trulia.com,CTVN01_150k,City Ventures,275,0,0.31
City Ventures,2012-08-31,Display Network,weather.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-02,Display Network,weather.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-01,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-02,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-03,Display Network,allrecipes.com,CTVN01_150k,City Ventures,1,0,0.00
City Ventures,2012-09-04,Display Network,allrecipes.com,CTVN01_150k,City Ventures,2,0,0.00
